name,description,price,maxAttendees,festivalCode1,festivalCode2
Taste of Flavor,A culinary journey through Antwerp's finest street food,20,250
Jazz & Bites,Smooth jazz with gourmet tasting menus in Ghent,25,200
Food Beats,Electronic vibes paired with global cuisine,15,150
Bruges Bites,Taste the best of Belgian dishes in a historic setting,12,150
Brew & Chew,A perfect blend of craft beers and hearty eats,18,90
Beach BBQ Fest,Grilled delights and chill beats by the sea,12,220
Underground Eats,Experimental flavors and urban food pop-ups,20,190
Flavor Fusion Fest,World cuisines meet in a multicultural celebration,28,210
Meat & Metal,Bold barbecue flavors and heavy music,27,160
Classical & Cuisine,Elegant bites served with classical performances,35,170
Urban Snack Jam,Street food and urban culture in perfect sync,38,80
Laughs & Snacks,Stand-up comedy with finger foods and fun treats,33,160
Retro Food Fair,Classic 80s & 90s snacks with retro vibes,22,240
Folk & Flavors,Folk music and traditional regional dishes,15,140
Pop & Poutine,Pop music paired with loaded fries and fast treats,20,190
Street Food Mania,Food trucks from all over Belgium,17,210
Green Spoon Festival,Plant-based meals and eco-conscious vendors,16,150
Dance & Dine,Dance crews with street eats and party snacks,35,175
Tech Taste,Innovative food tech demos and futuristic bites,30,75
Spice & Fire,Fiery foods, live drums, and fire shows,25,60
