Name,Description,Phone,Email,Website,Logo,Rating
Tasty Burgers,Delicious grilled burgers,32478010000,vendor1@example.com,www.vendor1.com,logo1.png,5
DJ Soundz,Live DJ sets,32478010001,vendor2@example.com,www.vendor2.com,logo2.png,4
Sweet Treats,Ice cream and desserts,32478010002,vendor3@example.com,www.vendor3.com,logo3.png,5
Rock Grill,BBQ and grilled meats,32478010003,vendor4@example.com,www.vendor4.com,logo4.png,3
Fiesta Drinks,Refreshing cocktails,32478010004,vendor5@example.com,www.vendor5.com,logo5.png,4
Smooth Sounds,Jazz band performance,32478010005,vendor6@example.com,www.vendor6.com,logo6.png,5
Pizza Town,Wood-fired pizzas,32478010006,vendor7@example.com,www.vendor7.com,logo7.png,4
Sushi Spot,Fresh sushi and sashimi,32478010007,vendor8@example.com,www.vendor8.com,logo8.png,3
Guitar Legends,Rock band performances,32478010008,vendor9@example.com,www.vendor9.com,logo9.png,5
Vegan Vibes,Plant-based meals,32478010009,vendor10@example.com,www.vendor10.com,logo10.png,4
Coffee Corner,Artisan coffee and tea,32478010010,vendor11@example.com,www.vendor11.com,logo11.png,5
Electro Beats,Electronic music DJs,32478010011,vendor12@example.com,www.vendor12.com,logo12.png,4
Crafty Bites,Craft snacks and treats,32478010012,vendor13@example.com,www.vendor13.com,logo13.png,3
Dance Zone,Dance performances,32478010013,vendor14@example.com,www.vendor14.com,logo14.png,5
Burger House,Gourmet burgers,32478010014,vendor15@example.com,www.vendor15.com,logo15.png,4
Falafel King,Middle Eastern delights,32478010015,vendor16@example.com,www.vendor16.com,logo16.png,5
Chill Tunes,Acoustic performances,32478010016,vendor17@example.com,www.vendor17.com,logo17.png,3
Grill Express,Fast grilled food,32478010017,vendor18@example.com,www.vendor18.com,logo18.png,4
Pasta Palace,Italian pastas,32478010018,vendor19@example.com,www.vendor19.com,logo19.png,5
Soul Kitchen,Soul food classics,32478010019,vendor20@example.com,www.vendor20.com,logo20.png,4
Fresh Fruit Bar,Juices and smoothies,32478010020,vendor21@example.com,www.vendor21.com,logo21.png,5
BBQ Bros,Smoked meats,32478010021,vendor22@example.com,www.vendor22.com,logo22.png,3
Street Noodles,Asian noodle dishes,32478010022,vendor23@example.com,www.vendor23.com,logo23.png,4
Latin Beats,Latin music and dance,32478010023,vendor24@example.com,www.vendor24.com,logo24.png,5
Waffle Wagon,Belgian waffles,32478010024,vendor25@example.com,www.vendor25.com,logo25.png,4
Glow Performers,LED and light shows,32478010025,vendor26@example.com,www.vendor26.com,logo26.png,5
Taco Trolley,Mexican tacos,32478010026,vendor27@example.com,www.vendor27.com,logo27.png,3
Soul Strings,Violin and cello acts,32478010027,vendor28@example.com,www.vendor28.com,logo28.png,4
Brew Bros,Craft beer stand,32478010028,vendor29@example.com,www.vendor29.com,logo29.png,5
Paella House,Spanish rice dishes,32478010029,vendor30@example.com,www.vendor30.com,logo30.png,4
